0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,50.0,17.0,52.0,9.0,14.0,18.0,16.0,3.0,2.0,4.0,22.0,37.0,10.0,15.0,1.0,26.0,11.0,9.0,3.0,5.0,0.0,0.0,0.0,39.0,16.0,12.0,35.0,12.0,38.0,20.0,35.0,4.0,28.0,7.0,45.0,11.0,13.0,5.0,2.0,8.0,3.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0
0.0,1.0,10.0,43.0,9.0,15.0,14.0,29.0,23.0,4.0,2.0,10.0,28.0,6.0,13.0,7.0,3.0,3.0,15.0,12.0,3.0,7.0,2.0,1.0,0.0,53.0,5.0,16.0,7.0,18.0,11.0,27.0,43.0,5.0,33.0,14.0,56.0,20.0,15.0,0.0,4.0,3.0,7.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0
0.0,2.0,15.0,55.0,16.0,19.0,3.0,35.0,5.0,5.0,0.0,17.0,36.0,20.0,15.0,8.0,6.0,10.0,21.0,1.0,4.0,0.0,3.0,3.0,0.0,62.0,10.0,25.0,14.0,21.0,13.0,40.0,8.0,9.0,4.0,18.0,77.0,34.0,18.0,0.0,4.0,7.0,11.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,26.0,63.0,30.0,23.0,5.0,42.0,11.0,7.0,0.0,22.0,11.0,33.0,3.0,14.0,6.0,18.0,22.0,2.0,5.0,0.0,3.0,0.0,0.0,10.0,20.0,5.0,17.0,25.0,18.0,47.0,14.0,16.0,9.0,26.0,20.0,43.0,5.0,0.0,3.0,8.0,13.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0
0.0,1.0,33.0,9.0,34.0,4.0,7.0,8.0,14.0,9.0,1.0,26.0,17.0,41.0,10.0,15.0,2.0,24.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,16.0,26.0,11.0,20.0,2.0,24.0,10.0,27.0,21.0,14.0,36.0,39.0,49.0,10.0,0.0,4.0,10.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
0.0,1.0,46.0,21.0,43.0,7.0,10.0,16.0,18.0,2.0,1.0,5.0,24.0,53.0,15.0,18.0,5.0,26.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,34.0,34.0,18.0,24.0,5.0,35.0,20.0,36.0,5.0,24.0,9.0,55.0,10.0,15.0,1.0,4.0,10.0,4.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0
0.0,1.0,9.0,25.0,14.0,11.0,13.0,28.0,27.0,6.0,2.0,10.0,35.0,5.0,23.0,3.0,5.0,9.0,10.0,9.0,2.0,5.0,1.0,1.0,0.0,45.0,8.0,24.0,1.0,12.0,4.0,28.0,53.0,7.0,30.0,15.0,60.0,22.0,17.0,0.0,6.0,2.0,8.0,7.0,1.0,2.0,2.0,1.0,0.0,0.0
0.0,1.0,18.0,36.0,27.0,19.0,5.0,41.0,2.0,9.0,1.0,13.0,42.0,15.0,32.0,6.0,6.0,12.0,13.0,3.0,2.0,0.0,1.0,1.0,0.0,55.0,12.0,30.0,7.0,18.0,13.0,38.0,9.0,19.0,7.0,24.0,82.0,31.0,23.0,0.0,6.0,5.0,11.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
0.0,1.0,35.0,44.0,34.0,22.0,14.0,54.0,6.0,14.0,1.0,19.0,18.0,22.0,5.0,11.0,6.0,17.0,21.0,4.0,6.0,1.0,1.0,2.0,0.0,10.0,19.0,7.0,9.0,21.0,23.0,49.0,20.0,24.0,16.0,32.0,16.0,46.0,5.0,0.0,1.0,6.0,13.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0
1.0,1.0,48.0,11.0,45.0,6.0,16.0,11.0,9.0,18.0,2.0,27.0,31.0,33.0,13.0,14.0,2.0,22.0,3.0,5.0,0.0,1.0,2.0,2.0,0.0,21.0,25.0,16.0,16.0,3.0,27.0,8.0,33.0,27.0,29.0,38.0,31.0,57.0,10.0,0.0,1.0,8.0,3.0,3.0,1.0,6.0,2.0,3.0,0.0,0.0
